stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,wheelchair_boarding,stop_timezone,stop_url,parent_station,location_type
380,380,CASTELLOTTI - AGESIA DI SIRACUSA,,38.1813752,13.31575828,1,1,Europe/Rome,,,0
381,381,CASTELLOTTI - MARCIANO,,38.18297286,13.31461353,1,1,Europe/Rome,,,0
385,385,CATALANO - LOI,,38.10413822,13.34167615,1,1,Europe/Rome,,,0
386,386,CATULLO,,38.19771234,13.2746467,1,1,Europe/Rome,,,0
387,387,CAVARRETTA - CASTELFORTE,,38.19668052,13.31538007,1,1,Europe/Rome,,,0
388,388,CAVARRETTA - SALINE,,38.19823,13.318295,1,1,Europe/Rome,,,0
389,389,CAVARRETTA - TUBEROSA,,38.19741934,13.31676274,1,1,Europe/Rome,,,0
1743,1743,ROCCAZZO - MASSAUA,,38.12350394,13.31009477,1,1,Europe/Rome,,,0
1253,1253,NOCE - LITTARA,,38.12115859,13.33528742,1,1,Europe/Rome,,,0
2190,2190,VITTORIO EMANUELE - S. MARIA DELLA CATENA,,38.11888385,13.36924553,1,1,Europe/Rome,,,0
2191,2191,VITTORIO EMANUELE - UMBERTO I,,38.07904667,13.439045,1,1,Europe/Rome,,,0
2192,2192,VITTORIO EMANUELE - VILLA BONANNO,,38.11292024,13.35469991,1,1,Europe/Rome,,,0
259,259,CADUTI SUL LAVORO 1,,38.18889171,13.29434586,1,1,Europe/Rome,,,0
2194,2194,VITTORIO EMANUELE - VUCCIRIA,,38.11685805,13.3642593,1,1,Europe/Rome,,,0
2195,2195,VITTORIO EMANUELE - XXIV MAGGIO,,38.076955,13.44472167,1,1,Europe/Rome,,,0
2196,2196,VOLTURNO - CAPO,,38.119525,13.35391333,1,1,Europe/Rome,,,0
252,252,BRUNELLESCHI - VANVITELLI,,38.13990562,13.31418976,1,1,Europe/Rome,,,0
253,253,BUONRIPOSO,,38.10258815,13.37397758,1,1,Europe/Rome,,,0
250,250,BRUNELLESCHI - BUONFORNELLO,,38.138805,13.313955,1,1,Europe/Rome,,,0
251,251,BRUNELLESCHI - BUONFORNELLO,,38.13884943,13.31389906,1,1,Europe/Rome,,,0
257,257,BUONRIPOSO - PIAZZA SCAFFA,,38.10379009,13.3743357,1,1,Europe/Rome,,,0
255,255,BUONRIPOSO - ORETO,,38.10089419,13.37355224,1,1,Europe/Rome,,,0
2204,2204,ZAPPA,,38.17820167,13.31241667,1,1,Europe/Rome,,,0
2206,2206,ZAPPALA',,38.1385493,13.3354791,1,1,Europe/Rome,,,0
2207,2207,ZAPPALA',,38.13911667,13.3353,1,1,Europe/Rome,,,0
2208,2208,ZONA INDUSTRIALE - CITTA' GIARDINO,,38.16637,13.30500167,1,1,Europe/Rome,,,0
169,169,BASILE - ARTALE,,38.10032458,13.34709853,1,1,Europe/Rome,,,0
164,164,BARCARELLO 4,,38.204784,13.28096464,1,1,Europe/Rome,,,0
165,165,BARILLAI - S. SEBASTIANO,,38.12096669,13.36602852,1,1,Europe/Rome,,,0
167,167,BASILE - ANELLI,,38.0952904875,13.34194104,1,1,Europe/Rome,,,0
161,161,BARCARELLO 1,,38.20467,13.280885,1,1,Europe/Rome,,,0
162,162,BARCARELLO 2,,38.20638667,13.282455,1,1,Europe/Rome,,,0
163,163,BARCARELLO 3,,38.20656498,13.28241035,1,1,Europe/Rome,,,0
70000,,CROCI - MORDINI,,38.130056775,13.352247595,1,1,Europe/Rome,,,1
1814,1814,S. LORENZO - MARINAI D'ITALIA,,38.16360037,13.32210008,1,1,Europe/Rome,,,0
1815,1815,S. LORENZO - SAVAGNONE,,38.16735333,13.31487715,1,1,Europe/Rome,,,0
1816,1816,S. LORENZO - SAVAGNONE,,38.16718313,13.31504302,1,1,Europe/Rome,,,0
1817,1817,S. LORENZO - SERRETTA,,38.16059225,13.32856799,1,1,Europe/Rome,,,0
1810,1810,S. LORENZO - LARGO S. LORENZO,,38.16084113,13.32725555,1,1,Europe/Rome,,,0
1811,1811,S. LORENZO - LARGO S. LORENZO,,38.16071333,13.32761167,1,1,Europe/Rome,,,0
1812,1812,S. LORENZO - LO VALVO,,38.1693714,13.31014842,1,1,Europe/Rome,,,0
1813,1813,S. LORENZO - LO VALVO,,38.16954823,13.30654664,1,1,Europe/Rome,,,0
1818,1818,S. LORENZO - STAZIONE FS,,38.164515,13.31878667,1,1,Europe/Rome,,,0
1819,1819,S. LORENZO - VALLOTTA,,38.16932711,13.30830023,1,1,Europe/Rome,,,0
80000,,STURZO - POLITEAMA,,38.1255963167,13.3571653633,1,1,Europe/Rome,,,1
1609,1609,PUGLISI BERTOLINO,,38.126710018,13.357305124,1,1,Europe/Rome,,,0
1608,1608,PROTEZIONE CIVILE,,38.155885,13.34453833,1,1,Europe/Rome,,,0
1979,1979,STAZIONE CENTRALE - GIULIO CESARE,,38.109873165,13.366441835,1,1,,,20000,0
1976,1976,STAZIONE CENTRALE - CUPANI 1,,38.10938169,13.36659633,1,1,,,20000,0
1603,1603,PRINCIPE DI SCALEA - AMAP,,38.19953941,13.3271635814,1,1,Europe/Rome,,,0
1602,1602,PRINCIPE DI PALAGONIA - CARCERE MINORILE,,38.13395167,13.33656167,1,1,Europe/Rome,,,0
1605,1605,PRINCIPE DI SCALEA - MONDELLO,,38.20469183,13.3241049678,1,1,Europe/Rome,,,0
1604,1604,PRINCIPE DI SCALEA - GALATEA,,38.2013025329,13.3255232743,1,1,Europe/Rome,,,0
